  x |   x(дв.) | pi(x) | pi(x)(дв.) |   f1  f2  f3  f4  f5  f6  f7  f8 |   c1  c2  c3  c4  c5  c6  c7  c8
158 | 10011110 |    10 |   00001010 |    0   0   0   0   1   0   1   0 |    0   1   1   1   0   0   1   1
159 | 10011111 |    74 |   01001010 |    0   1   0   0   1   0   1   0 |    0   1   1   1   0   0   0   0
160 | 10100000 |   167 |   10100111 |    1   0   1   0   0   1   1   1 |    0   1   1   1   1   1   0   1
161 | 10100001 |   151 |   10010111 |    1   0   0   1   0   1   1   1 |    1   1   1   0   1   0   0   1
162 | 10100010 |    96 |   01100000 |    0   1   1   0   0   0   0   0 |    1   0   0   0   0   0   0   1
163 | 10100011 |   115 |   01110011 |    0   1   1   1   0   0   1   1 |    1   0   0   0   0   1   0   0
164 | 10100100 |    30 |   00011110 |    0   0   0   1   1   1   1   0 |    0   1   1   1   0   0   0   0
165 | 10100101 |     0 |   00000000 |    0   0   0   0   0   0   0   0 |    0   1   1   1   1   1   1   0
166 | 10100110 |    98 |   01100010 |    0   1   1   0   0   0   1   0 |    0   1   1   1   0   0   1   1
167 | 10100111 |    68 |   01000100 |    0   1   0   0   0   1   0   0 |    0   1   0   1   0   1   1   0
168 | 10101000 |    26 |   00011010 |    0   0   0   1   1   0   1   0 |    1   1   0   0   1   0   1   0
169 | 10101001 |   184 |   10111000 |    1   0   1   1   1   0   0   0 |    0   1   0   0   0   1   1   1
170 | 10101010 |    56 |   00111000 |    0   0   1   1   1   0   0   0 |    0   0   0   1   1   1   1   0
171 | 10101011 |   130 |   10000010 |    1   0   0   0   0   0   1   0 |    1   1   1   0   1   1   1   0
172 | 10101100 |   100 |   01100100 |    0   1   1   0   0   1   0   0 |    0   1   1   1   0   1   1   1
173 | 10101101 |   159 |   10011111 |    1   0   0   1   1   1   1   1 |    0   0   0   1   1   0   0   1
174 | 10101110 |    38 |   00100110 |    0   0   1   0   0   1   1   0 |    0   1   0   0   1   0   0   1
175 | 10101111 |    65 |   01000001 |    0   1   0   0   0   0   0   1 |    1   0   1   0   0   0   0   0
176 | 10110000 |   173 |   10101101 |    1   0   1   0   1   1   0   1 |    1   1   0   1   1   1   0   0
177 | 10110001 |    69 |   01000101 |    0   1   0   0   0   1   0   1 |    1   1   1   1   0   0   0   1
178 | 10110010 |    70 |   01000110 |    0   1   0   0   0   1   1   0 |    0   1   1   1   1   0   0   0
179 | 10110011 |   146 |   10010010 |    1   0   0   1   0   0   1   0 |    1   1   1   1   1   1   0   1
180 | 10110100 |    39 |   00100111 |    0   0   1   0   0   1   1   1 |    1   1   1   1   1   1   0   0
181 | 10110101 |    94 |   01011110 |    0   1   0   1   1   1   1   0 |    1   1   0   0   0   1   0   1
182 | 10110110 |    85 |   01010101 |    0   1   0   1   0   1   0   1 |    0   1   0   1   0   1   0   0
183 | 10110111 |    47 |   00101111 |    0   0   1   0   1   1   1   1 |    1   1   1   1   0   1   1   0
184 | 10111000 |   140 |   10001100 |    1   0   0   0   1   1   0   0 |    0   0   1   0   1   0   1   0
185 | 10111001 |   163 |   10100011 |    1   0   1   0   0   0   1   1 |    0   1   1   0   1   0   0   0
186 | 10111010 |   165 |   10100101 |    1   0   1   0   0   1   0   1 |    0   0   1   1   0   1   1   1
187 | 10111011 |   125 |   01111101 |    0   1   1   1   1   1   0   1 |    0   0   1   1   1   1   1   1
188 | 10111100 |   105 |   01101001 |    0   1   1   0   1   0   0   1 |    1   1   1   1   0   1   1   0
189 | 10111101 |   213 |   11010101 |    1   1   0   1   0   1   0   1 |    0   0   1   0   0   1   1   0
190 | 10111110 |   149 |   10010101 |    1   0   0   1   0   1   0   1 |    1   1   1   0   0   0   0   1
191 | 10111111 |    59 |   00111011 |    0   0   1   1   1   0   1   1 |    1   0   1   0   0   1   1   1
192 | 11000000 |     7 |   00000111 |    0   0   0   0   0   1   1   1 |    1   1   0   0   1   1   1   1
193 | 11000001 |    88 |   01011000 |    0   1   0   1   1   0   0   0 |    1   0   1   1   1   0   0   0
194 | 11000010 |   179 |   10110011 |    1   0   1   1   0   0   1   1 |    1   0   1   0   1   0   0   1
195 | 11000011 |    64 |   01000000 |    0   1   0   0   0   0   0   0 |    0   1   1   1   0   1   1   1
196 | 11000100 |   134 |   10000110 |    1   0   0   0   0   1   1   0 |    0   1   0   1   0   0   1   0
197 | 11000101 |   172 |   10101100 |    1   0   1   0   1   1   0   0 |    1   0   0   0   0   1   1   1
198 | 11000110 |    29 |   00011101 |    0   0   0   1   1   1   0   1 |    0   0   0   1   0   0   1   1
199 | 11000111 |   247 |   11110111 |    1   1   1   1   0   1   1   1 |    1   1   1   0   1   1   0   0
200 | 11001000 |    48 |   00110000 |    0   0   1   1   0   0   0   0 |    0   0   1   0   0   0   0   1
201 | 11001001 |    55 |   00110111 |    0   0   1   1   0   1   1   1 |    1   1   1   1   0   1   1   0
202 | 11001010 |   107 |   01101011 |    0   1   1   0   1   0   1   1 |    0   1   1   0   1   0   0   0
203 | 11001011 |   228 |   11100100 |    1   1   1   0   0   1   0   0 |    0   1   1   1   1   1   0   0
204 | 11001100 |   136 |   10001000 |    1   0   0   0   1   0   0   0 |    1   0   0   1   0   1   1   0
205 | 11001101 |   217 |   11011001 |    1   1   0   1   1   0   0   1 |    1   1   1   0   0   1   1   1
206 | 11001110 |   231 |   11100111 |    1   1   1   0   0   1   1   1 |    0   1   1   0   1   1   0   0
207 | 11001111 |   137 |   10001001 |    1   0   0   0   1   0   0   1 |    0   1   0   1   0   1   1   0
208 | 11010000 |   225 |   11100001 |    1   1   1   0   0   0   0   1 |    1   0   0   1   0   0   1   0
209 | 11010001 |    27 |   00011011 |    0   0   0   1   1   0   1   1 |    1   1   1   1   0   1   1   0
210 | 11010010 |   131 |   10000011 |    1   0   0   0   0   0   1   1 |    0   1   1   0   0   1   0   1
211 | 11010011 |    73 |   01001001 |    0   1   0   0   1   0   0   1 |    1   0   1   1   0   0   1   0
212 | 11010100 |    76 |   01001100 |    0   1   0   0   1   1   0   0 |    1   0   1   0   0   0   1   0
213 | 11010101 |    63 |   00111111 |    0   0   1   1   1   1   1   1 |    1   1   1   0   1   1   0   1
214 | 11010110 |   248 |   11111000 |    1   1   1   1   1   0   0   0 |    1   1   0   1   0   1   0   1
215 | 11010111 |   254 |   11111110 |    1   1   1   1   1   1   1   0 |    0   1   0   0   0   0   0   0
216 | 11011000 |   141 |   10001101 |    1   0   0   0   1   1   0   1 |    1   0   0   0   0   1   0   1
217 | 11011001 |    83 |   01010011 |    0   1   0   1   0   0   1   1 |    1   0   1   1   1   1   1   0
218 | 11011010 |   170 |   10101010 |    1   0   1   0   1   0   1   0 |    0   0   1   1   1   1   0   1
219 | 11011011 |   144 |   10010000 |    1   0   0   1   0   0   0   0 |    1   1   1   0   0   0   1   1
220 | 11011100 |   202 |   11001010 |    1   1   0   0   1   0   1   0 |    1   0   0   1   0   0   1   1
221 | 11011101 |   216 |   11011000 |    1   1   0   1   1   0   0   0 |    0   0   0   1   0   1   1   0
222 | 11011110 |   133 |   10000101 |    1   0   0   0   0   1   0   1 |    1   0   1   1   0   0   1   0
223 | 11011111 |    97 |   01100001 |    0   1   1   0   0   0   0   1 |    1   1   0   1   1   1   0   1
224 | 11100000 |    32 |   00100000 |    0   0   1   0   0   0   0   0 |    1   0   1   0   0   1   0   0
225 | 11100001 |   113 |   01110001 |    0   1   1   1   0   0   0   1 |    1   0   0   0   1   1   0   0
226 | 11100010 |   103 |   01100111 |    0   1   1   0   0   1   1   1 |    0   0   1   1   0   1   1   0
227 | 11100011 |   164 |   10100100 |    1   0   1   0   0   1   0   0 |    0   0   0   1   0   0   1   1
228 | 11100100 |    45 |   00101101 |    0   0   1   0   1   1   0   1 |    1   1   1   1   1   0   0   0
229 | 11100101 |    43 |   00101011 |    0   0   1   0   1   0   1   1 |    0   1   1   1   1   1   1   0
230 | 11100110 |     9 |   00001001 |    0   0   0   0   1   0   0   1 |    0   1   0   1   0   0   1   1
231 | 11100111 |    91 |   01011011 |    0   1   0   1   1   0   1   1 |    1   0   1   0   0   0   1   0
232 | 11101000 |   203 |   11001011 |    1   1   0   0   1   0   1   1 |    1   1   1   0   1   0   0   1
233 | 11101001 |   155 |   10011011 |    1   0   0   1   1   0   1   1 |    1   1   0   0   1   1   1   1
234 | 11101010 |    37 |   00100101 |    0   0   1   0   0   1   0   1 |    0   0   0   0   1   1   0   1
235 | 11101011 |   208 |   11010000 |    1   1   0   1   0   0   0   0 |    0   0   1   1   0   0   1   1
236 | 11101100 |   190 |   10111110 |    1   0   1   1   1   1   1   0 |    0   1   0   1   0   0   1   1
237 | 11101101 |   229 |   11100101 |    1   1   1   0   0   1   0   1 |    0   0   1   1   1   0   1   0
238 | 11101110 |   108 |   01101100 |    0   1   1   0   1   1   0   0 |    0   1   1   0   1   1   0   0
239 | 11101111 |    82 |   01010010 |    0   1   0   1   0   0   1   0 |    1   0   0   0   0   0   0   1
240 | 11110000 |    89 |   01011001 |    0   1   0   1   1   0   0   1 |    0   0   1   1   1   0   1   0
241 | 11110001 |   166 |   10100110 |    1   0   1   0   0   1   1   0 |    0   0   0   1   0   0   1   1
242 | 11110010 |   116 |   01110100 |    0   1   1   1   0   1   0   0 |    0   0   0   1   0   0   0   0
243 | 11110011 |   210 |   11010010 |    1   1   0   1   0   0   1   0 |    1   1   1   1   1   1   0   1
244 | 11110100 |   230 |   11100110 |    1   1   1   0   0   1   1   0 |    0   0   0   1   0   1   1   0
245 | 11110101 |   244 |   11110100 |    1   1   1   1   0   1   0   0 |    1   1   1   0   1   1   0   1
246 | 11110110 |   180 |   10110100 |    1   0   1   1   0   1   0   0 |    0   1   0   0   0   1   1   0
247 | 11110111 |   192 |   11000000 |    1   1   0   0   0   0   0   0 |    1   1   0   1   1   0   0   0
248 | 11111000 |   209 |   11010001 |    1   1   0   1   0   0   0   1 |    1   0   1   1   1   0   0   0
249 | 11111001 |   102 |   01100110 |    0   1   1   0   0   1   1   0 |    1   1   1   1   1   0   1   0
250 | 11111010 |   175 |   10101111 |    1   0   1   0   1   1   1   1 |    1   0   1   0   0   1   0   1
251 | 11111011 |   194 |   11000010 |    1   1   0   0   0   0   1   0 |    1   0   1   0   1   1   0   1
252 | 11111100 |    57 |   00111001 |    0   0   1   1   1   0   0   1 |    1   0   0   1   0   0   1   0
253 | 11111101 |    75 |   01001011 |    0   1   0   0   1   0   1   1 |    1   0   0   0   0   1   0   1
